title,content,source_file,run_id,segment_id,confidence_score,needs_attention
Overview,"PGLS Global Culture Guide — Master Structure & Segmentation Plan
This working document outlines the comprehensive structure for the full PGLS Culture Guide — designed for future expansion, internal enablement, external sharing, training use, and cultural equity stewardship.

I. FRONT MATTER",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,a629e57b-6b2f-4e65-b7ee-faf83ebf985f,medium,True
Title Page,"Edition Info (Version, Date, Custodian)",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,5112b24f-276b-4c22-b986-16bfeb992404,medium,True
Purpose Statement How to Use This Guide,"Core Values & Editorial Tone
Acknowledgments / Source Attribution

II. GLOBAL OVERVIEW",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,3fcdbdd7-d33b-4342-bc25-13999ad98994,medium,True
Understanding Culture in Language Services,"Definitions of Culture, Language, Identity",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,657de20b-5a4e-472e-8362-6b9843cbe886,medium,True
Why Cultural Competency Matters How to Engage With This Guide,"Use cases (Healthcare, Legal, Education, Business)
Interpreters, Account Managers, Clients

III. CULTURE ENTRIES (Alphabetical)
Each entry follows a uniform format:

📘 Culture Entry: Afar",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,057dacdd-a0a4-4198-b339-2664cb78cab4,medium,True
Afar,"Region: East Africa (Djibouti, Ethiopia, Eritrea)
Language(s): Afar, Arabic, Amharic (PGLS Supported: Afar)
Overview: The Afar are a nomadic people known for their independence, clan loyalty, and Islamic faith. Harsh desert life shapes strong family interdependence.
Family & Social Structure: Clan-based and patriarchal; elders govern community decisions. Loyalty to kin is paramount.
Communication Style: Reserved with outsiders; respectful and oral tradition-based within tribe.
Etiquette & Customs: Hospitality is key. Guests are honored. Religion influences gender interactions and public behavior.
Beliefs & Worldview: Sunni Islam is dominant. Religious leaders hold social authority.
Health & Mental Health Considerations: Traditional and spiritual healing may be preferred. Mental illness may be underreported.
Gender Roles & Sensitivities: Clear gender separation in public. Women may avoid public discussion.
Interpreter/Service Notes: Gender-matching important. Use respectful Islamic phrases. Be mindful of pastoral lifestyle framing.

📘 Culture Entry: Albanian",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,0f039181-37a3-43f2-b2db-fca42d4926ee,medium,True
Albanian,"Region: Southeast Europe (Albania, Kosovo, North Macedonia) / Global Diaspora
Language(s): Albanian (Tosk and Gheg dialects), English, Italian (PGLS Supported)
Overview: Albanian culture is shaped by mountain tradition, hospitality, and resilience through Ottoman and communist histories.
Family & Social Structure: Strong patriarchal families. Family honor and obligation are central values.
Communication Style: Direct with familiar people; formal with outsiders.
Etiquette & Customs: Guests offered food and coffee. Avoid using left hand when serving. Elder deference expected.
Beliefs & Worldview: Muslim, Orthodox Christian, Catholic, and secular traditions coexist. Religion often secondary to family identity.
Health & Mental Health Considerations: Emotional issues kept private. Mental health may carry stigma, especially in older generations.
Gender Roles & Sensitivities: Traditional roles, especially among older or rural populations.
Interpreter/Service Notes: Respect family privacy. Clarify dialect where applicable. Gender-matching appreciated in some families.

📘 Culture Entry: Amharic (Ethiopian)
Amharic (Ethiopian)
Region: East Africa (Ethiopia) / U.S. Diaspora
Language(s): Amharic, Oromo, Tigrinya, English (PGLS Supported: Amharic)
Overview: Amharic speakers are often culturally rooted in Ethiopian Orthodox traditions, imperial history, and national pride.
Family & Social Structure: Extended families common; respect for elders central. Male head of household often authoritative.
Communication Style: Formal and courteous. Avoids direct confrontation. Speech may include religious or historical references.
Etiquette & Customs: Handshakes and bowing nods; right-hand use only for greeting/eating. Religious observance guides dress and behavior.
Beliefs & Worldview: Ethiopian Orthodox Christianity, Islam, and traditional beliefs practiced. Faith shapes calendar and social norms.
Health & Mental Health Considerations: Illness may be linked to spiritual imbalance or divine will. Mental health is stigmatized in some communities.
Gender Roles & Sensitivities: Traditional roles dominate, though women lead within home and church life.
Interpreter/Service Notes: Use formal address. Match gender when possible. Clarify medical/legal language and respect spiritual framing.

📘 Culture Entry: Armenian",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,afa07fb1-e228-4b48-9624-8bea7c9cfd4a,medium,True
Armenian,"Region: Caucasus (Armenia), Middle East (Lebanon, Syria), U.S. Diaspora (especially California)
Language(s): Armenian (Eastern, Western), Russian, English (PGLS Supported: Armenian)
Overview: Armenian culture is defined by ancient Christian heritage, strong diasporic memory (including the Armenian Genocide), and communal tradition.
Family & Social Structure: Extended families with strong parental roles. Elders and church leaders respected.
Communication Style: Passionate and expressive with family; reserved and polite with outsiders.
Etiquette & Customs: Hospitality is central. Cultural pride in food, history, and survival.
Beliefs & Worldview: Armenian Apostolic Church central to identity. Secular Armenians still value Christian rituals culturally.
Health & Mental Health Considerations: Mental illness may be seen as weakness or spiritual struggle. Family plays a major role in care.
Gender Roles & Sensitivities: Traditional roles persist in older generations; modern diaspora more egalitarian.
Interpreter/Service Notes: Be sensitive to historical trauma. Respect naming conventions and faith-based references.

📘 Culture Entry: Assyrian",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,092817bd-60f3-4350-b836-aefa1cb05772,medium,True
Assyrian,"Region: Middle East (Iraq, Syria, Iran, Turkey) / Global Diaspora (U.S., Australia, Sweden)
Language(s): Assyrian Neo-Aramaic, Arabic, English (PGLS Supported: Assyrian)
Overview: One of the oldest ethno-religious groups, Assyrians are culturally Christian with deep ties to Aramaic language and regional displacement.
Family & Social Structure: Patriarchal households, strong loyalty to extended family and church.
Communication Style: Polite, emotional, and respectful. Religious references often present in conversation.
Etiquette & Customs: Elders respected; women may defer in mixed company. Holidays and food customs are essential.
Beliefs & Worldview: Christian (Assyrian Church of the East, Chaldean Catholic, Syriac Orthodox). Faith central to identity and resilience.
Health & Mental Health Considerations: Trauma from conflict/displacement common. Mental health rarely discussed openly.
Gender Roles & Sensitivities: Traditional, with slow change in diaspora. Women respected as family pillars.
Interpreter/Service Notes: Respect Christian terminology. Use formal, warm tone. Clarify sensitive topics respectfully.

📘 Culture Entry: Azerbaijani",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,71471abb-0fdc-4f09-bdd1-2db3d59dc57f,medium,True
Azerbaijani,"Region: South Caucasus (Azerbaijan, Iran), Russia, Turkey / Global Diaspora
Language(s): Azerbaijani (Azeri), Russian, Turkish (PGLS Supported: Azerbaijani)
Overview: Azerbaijani culture blends Turkic roots, Islamic faith, Soviet influence, and modern national pride.
Family & Social Structure: Patriarchal families; strong intergenerational ties and community loyalty.
Communication Style: Polite and respectful with formal hierarchy. Warm and expressive with family.
Etiquette & Customs: Guests honored with food/tea. Elders addressed with formality.
Beliefs & Worldview: Mostly Shia Muslim, with secular national identity. Hospitality and respect for traditions valued.
Health & Mental Health Considerations: Mental illness may be kept private. Somatic symptoms often reported instead.
Gender Roles & Sensitivities: Traditional roles, especially among elders. Urban diaspora shows more balance.
Interpreter/Service Notes: Clarify dialect or Russian preference. Match gender when discussing sensitive topics.

📘 Culture Entry: Basque",PGLS Global Culture Guide v1bw62726.docx,20250630_022042,8da8427d-8dc0-4e82-9547-623d9bdd248f,medium,True
